Index,Content
7-2,"(1) Arbeidsmiljøutvalget skal virke for gjennomføring av et fullt forsvarlig arbeidsmiljø i virksomheten. Utvalget skal delta i planleggingen av verne- og miljøarbeidet, og nøye følge utviklingen i spørsmål som angår arbeidstakernes sikkerhet, helse og velferd. (2) Arbeidsmiljøutvalget skal behandle: a. spørsmål som angår bedriftshelsetjeneste og den interne vernetjeneste, b. spørsmål om opplæring, instruksjon og opplysningsvirksomhet i virksomheten, som har betydning for arbeidsmiljøet, c. planer som krever Arbeidstilsynets samtykke i henhold til § 18-9, d. andre planer som kan få vesentlig betydning for arbeidsmiljøet, så som planer om byggearbeider, innkjøp av maskiner, rasjonalisering, arbeidsprosesser, og forebyggende vernetiltak, e. etablering og vedlikehold av virksomhetens systematiske helse-, miljø- og sikkerhetsarbeid, jf. § 3-1, f. helse- og velferdsmessige spørsmål knyttet til arbeidstidsordninger. (3) Utvalget kan også behandle spørsmål om arbeidstakere med redusert arbeidsevne, jf. § 4-6. (4) Utvalget skal gjennomgå alle rapporter om yrkessykdommer, arbeidsulykker og tilløp til ulykker, søke å finne årsaken til ulykken eller sykdommen, og se til at arbeidsgiveren treffer tiltak for å hindre gjentakelse. Utvalget skal i alminnelighet ha adgang til Arbeidstilsynets og politiets etterforskningsdokumenter. Når utvalget finner det nødvendig, kan det vedta at undersøkelser skal foretas av sakkyndige eller granskingskommisjon som utvalget oppnevner. Arbeidsgiveren kan uten ugrunnet opphold forelegge vedtaket for Arbeidstilsynet til avgjørelse. Utvalget skal gjennomgå alle rapporter om yrkeshygieniske undersøkelser og måleresultater. Før utvalget behandler rapporter som nevnt i dette ledd, skal medisinske opplysninger av personlig karakter tas ut av rapportene, med mindre den opplysningen gjelder, samtykker i at de legges fram for utvalget. (5) Hvis arbeidsmiljøutvalget finner det påkrevet for å verne arbeidstakernes liv eller helse, kan utvalget vedta at arbeidsgiveren skal gjennomføre konkrete tiltak til utbedring av arbeidsmiljøet, innenfor rammen av bestemmelsene gitt i eller i medhold av denne lov. For å klarlegge om det foreligger helsefare, kan utvalget også vedta at arbeidsgiveren skal utføre målinger eller undersøkelser av arbeidsmiljøet. Utvalget skal sette en tidsfrist for gjennomføringen av vedtaket. Hvis arbeidsgiveren ikke finner å kunne gjennomføre utvalgets vedtak, skal spørsmålet uten ugrunnet opphold forelegges for Arbeidstilsynet til avgjørelse. (6) Arbeidsmiljøutvalget skal hvert år avgi rapport om sin virksomhet til virksomhetens styrende organer og arbeidstakernes organisasjoner. Direktoratet for arbeidstilsynet kan gi nærmere regler om årsrapportens innhold og utforming. (7) Departementet kan gi forskrift med nærmere regler om utvalgets virksomhet, herunder regler om saksbehandlingen og om taushetsplikt for utvalgets medlemmer. Endret ved lover 15 des 2006 nr. 69 (ikr. 1 jan 2007 iflg. res. 15 des 2006 nr. 1406), 15 juni 2007 nr. 21. "
7-3,"(1) Innenfor bygge- og anleggsvirksomhet, ved laste- og lossearbeid og ellers når særlige forhold gjør det nødvendig, kan departementet gi forskrift om at det skal være særskilte lokale arbeidsmiljøutvalg. Slike utvalg kan få oppgaver, plikter og rettigheter som nevnt i §§ 7-1 og 7-3 overfor alle arbeidsgivere på arbeidsplassen. (2) Forskrifter etter denne paragraf kan omfatte regler om hvordan arbeidsmiljøutvalgene oppnevnes, hvilke oppgaver de skal ha og hvordan utgiftene ved deres virksomhet fordeles. "
7-4,Reglene i § 6-5 gjelder tilsvarende for medlemmer av arbeidsmiljøutvalg. Endret ved lov 19 juni 2009 nr. 39 (ikr. 1 jan 2010 iflg. res. 19 juni 2009 nr. 822). 
8-1,(1) I virksomhet som jevnlig sysselsetter minst 50 arbeidstakere skal arbeidsgiver informere om og drøfte spørsmål av betydning for arbeidstakernes arbeidsforhold med arbeidstakernes tillitsvalgte. (2) Departementet kan gi forskrift om beregningen av antall arbeidstakere i virksomheten. 
8-2,"(1) Plikten til informasjon og drøfting etter § 8-1 omfatter: a. informasjon om den aktuelle og forventede utvikling av virksomhetens aktiviteter og økonomiske situasjon, b. informasjon om og drøfting av den aktuelle og forventede bemanningssituasjon i virksomheten, inkludert eventuelle innskrenkninger og de tiltak arbeidsgiver vurderer i den forbindelse, c. informasjon om og drøfting av beslutninger som kan føre til vesentlig endring i arbeidsorganisering eller ansettelsesforhold. (2) Informasjon etter første ledd bokstav a skal skje på et passende tidspunkt. Informasjon og drøfting etter første ledd bokstavene b og c skal skje så tidlig som mulig. (3) Informasjonen skal gis slik at det er mulig for de tillitsvalgte å sette seg inn i saken, foreta en passende undersøkelse, vurdere saken og forberede eventuell drøfting. Drøftingen skal bygge på informasjon fra arbeidsgiver, finne sted på det nivå for ledelse og representasjon som saken tilsier og skje på en måte og med et innhold som er passende. Drøftingen skal gjennomføres slik at det er mulig for de tillitsvalgte å møte arbeidsgiveren og få et grunngitt svar på uttalelser de måtte avgi. Drøfting etter første ledd bokstav c skal ta sikte på å oppnå en avtale. (4) Bestemmelsene i denne paragraf kan fravikes ved tariffavtale. "
8-3,"(1) Dersom virksomhetens behov tilsier at bestemte opplysninger ikke bør gis videre, kan arbeidsgiver pålegge tillitsvalgte og eventuelle rådgivere taushetsplikt. Taushetsplikten gjelder også etter utløpet av vedkommendes mandatperiode. (2) Arbeidsgiver kan i særlige tilfeller unnlate å gi informasjon eller gjennomføre drøfting dersom dette på det aktuelle tidspunkt åpenbart vil være til betydelig skade for virksomheten. (3) Virksomhetens tillitsvalgte eller en femdel av arbeidstakerne kan bringe tvist om arbeidsgivers beslutning etter første og andre ledd inn for tvisteløsningsnemnda, jf. § 17-2. Tvist kan ikke bringes inn etter at opplysningene beslutningen gjelder er blitt offentlig kjent. Departementet kan i forskrift gi nærmere bestemmelser om nemndas myndighet og saksbehandling i tvister etter denne paragraf. Endret ved lov 15 des 2017 nr. 104. "
8-4,Tilføyes ved lov 17 mars 2023 nr. 3 (i kraft 1 jan 2024 iflg. res. 17 mars 2023 nr. 341). 
9-1,(1) Arbeidsgiver kan bare iverksette kontrolltiltak overfor arbeidstaker når tiltaket har saklig grunn i virksomhetens forhold og det ikke innebærer en uforholdsmessig belastning for arbeidstakeren. (2) Personopplysningsloven gjelder for arbeidsgivers behandling av opplysninger om arbeidstakere i forbindelse med kontrolltiltak med mindre annet er fastsatt i denne eller annen lov. 
9-2,"(1) Arbeidsgiver plikter så tidlig som mulig å drøfte behov, utforming, gjennomføring og vesentlig endring av kontrolltiltak i virksomheten med arbeidstakernes tillitsvalgte. (2) Før tiltaket iverksettes, skal arbeidsgiver gi de berørte arbeidstakerne informasjon om: a. formålet med kontrolltiltaket, b. praktiske konsekvenser av kontrolltiltaket, herunder hvordan kontrolltiltaket vil bli gjennomført, c. kontrolltiltakets antatte varighet. (3) Arbeidsgiver skal sammen med arbeidstakernes tillitsvalgte jevnlig evaluere behovet for de kontrolltiltak som iverksettes. "
9-3,(1) Arbeidsgiver må ikke i utlysningen etter nye arbeidstakere eller på annen måte be om at søkerne skal gi andre helseopplysninger enn dem som er nødvendige for å utføre de arbeidsoppgaver som knytter seg til stillingen. Arbeidsgiver må heller ikke iverksette tiltak for å innhente helseopplysninger på annen måte. (2) Departementet kan i forskrift gi nærmere bestemmelser om hvilke opplysninger som kan innhentes etter denne paragraf. 
9-4,"(1) Arbeidsgiver kan bare kreve at medisinske undersøkelser skal foretas: a. når det følger av lov eller forskrift, b. ved stillinger som innebærer særlig risiko, c. når arbeidsgiver finner det nødvendig for å verne liv eller helse. (2) Departementet kan gi forskrift om vilkårene for å kreve medisinske undersøkelser etter denne paragraf. "
9-5,"Departementet kan gi forskrift om arbeidsgivers rett til innsyn i arbeidstakers e-postkasse og annet elektronisk lagret materiale, blant annet om adgangen til innsyn, prosedyrer ved innsyn og plikten til å slette opplysninger. "
9-6,"Departementet kan gi forskrift om kameraovervåking i virksomheten, blant annet om adgangen til å iverksette kameraovervåking, varsling om at slik overvåking finner sted, og utlevering og sletting av opptak gjort ved slik overvåking. "
10-1,(1) Med arbeidstid menes den tid arbeidstaker står til disposisjon for arbeidsgiver. (2) Med arbeidsfri menes den tid arbeidstaker ikke står til disposisjon for arbeidsgiver. 
10-2,"(1) Arbeidstidsordninger skal være slik at arbeidstakerne ikke utsettes for uheldige fysiske eller psykiske belastninger, og slik at det er mulig å ivareta sikkerhetshensyn. (2) Arbeidstaker som regelmessig arbeider om natten har rett til fritak fra den arbeidstidsordning som gjelder for arbeidstakergruppen, dersom vedkommende av helsemessige, sosiale eller andre vektige velferdsgrunner har behov for det og fritaket kan gjennomføres uten vesentlig ulempe for virksomheten. (3) Arbeidstaker har rett til fleksibel arbeidstid dersom dette kan gjennomføres uten vesentlig ulempe for virksomheten. (4) Arbeidstaker som har fylt 62 år eller som av helsemessige, sosiale eller andre vektige velferdsgrunner har behov for det, har rett til å få redusert sin arbeidstid dersom arbeidstidsreduksjonen kan gjennomføres uten vesentlig ulempe for virksomheten. Når avtalt periode med redusert arbeidstid er over, har arbeidstaker rett til å gå tilbake til tidligere arbeidstid. Under ellers like forhold har arbeidstaker med redusert arbeidstid fortrinnsrett til å øke sin arbeidstid når stilling blir ledig i virksomheten, forutsatt at stillingen helt eller i det vesentlige er tillagt de samme arbeidsoppgavene. Fortrinnsrett etter §§ 14-2 og 14-3 går foran fortrinnsrett etter bestemmelsen her. Endret ved lover 13 juni 2008 nr. 40 (ikr. 1 juli 2008 iflg. res. 13 juni 2008 nr. 585), 19 juni 2009 nr. 39 (ikr. 1 jan 2010 iflg. res. 19 juni 2009 nr. 822). "
10-3,"Dersom arbeidstakerne arbeider til ulike tider på døgnet, skal det utarbeides en arbeidsplan som viser hvilke uker, dager og tider den enkelte arbeidstaker skal arbeide. Arbeidsplanen skal utarbeides i samarbeid med arbeidstakernes tillitsvalgte. Dersom ikke annet fremgår av tariffavtale, skal arbeidsplanen drøftes med arbeidstakernes tillitsvalgte så tidlig som mulig og senest to uker før iverksettelsen. Arbeidsplanen skal være lett tilgjengelig for arbeidstakerne. "
10-4,"(1) Den alminnelige arbeidstid må ikke overstige ni timer i løpet av 24 timer og 40 timer i løpet av sju dager. (2) For arbeid som helt eller i det vesentlige er av passiv karakter, kan arbeidstiden forlenges med inntil halvparten av de passive periodene, men ikke med mer enn to timer i løpet av 24 timer og ti timer i løpet av sju dager. Arbeidstilsynet kan når arbeidet er særlig passivt, gi samtykke til at arbeidstiden forlenges utover det som er fastsatt i første punktum, men slik at arbeidstiden ikke overstiger 13 timer i løpet av 24 timer. Den alminnelige arbeidstiden må ikke overstige 48 timer i løpet av sju dager. (3) For beredskapsvakt utenfor arbeidsstedet skal som hovedregel minst 1/7 av vakten regnes med i den alminnelige arbeidstid, avhengig av hvor belastende vaktordningen er. Arbeidsgiver og arbeidstakernes tillitsvalgte i virksomhet som er bundet av tariffavtale, kan ved skriftlig avtale fravike bestemmelsen i første punktum. Arbeidstilsynet kan etter krav fra arbeidsgiver eller arbeidstakernes tillitsvalgte fastsette en annen beregningsmåte dersom beregningen av arbeidstiden etter første punktum vil virke urimelig. (4) Den alminnelige arbeidstid må ikke overstige ni timer i løpet av 24 timer og 38 timer i løpet av sju dager for: a. døgnkontinuerlig skiftarbeid og sammenlignbart turnusarbeid, b. arbeid på to skift som regelmessig drives på søn- og helgedager, og sammenlignbart turnusarbeid som regelmessig drives på søn- og helgedager, c. arbeid som innebærer at den enkelte arbeidstaker må arbeide minst hver tredje søndag, d. arbeid som hovedsakelig drives om natten. (5) Den alminnelige arbeidstid må ikke overstige ni timer i løpet av 24 timer og 36 timer i løpet av sju dager for: a. helkontinuerlig skiftarbeid og sammenlignbart turnusarbeid, b. arbeid under jord i gruver, tunneldrift og utsprengning av bergrom under jord. (6) For tredelt skift- og turnusarbeid som ikke faller inn under fjerde eller femte ledd og som innebærer at den enkelte arbeidstaker må arbeide minst hver tredje søndag, reduseres den alminnelige arbeidstiden etter første ledd ved at hver time arbeidet på søn- og helgedag, jf. § 10-10 første ledd, regnes lik 1 time og 10 minutter, og hver time arbeidet om natten, jf. § 10-11 første ledd, regnes lik 1 time og 15 minutter, ned til 36 timer i løpet av sju dager. Den alminnelige arbeidstid må uansett ikke overstige ni timer i løpet av 24 timer og 38 timer i løpet av sju dager. Endret ved lover 21 des 2005 nr. 121 (ikr. 1 jan 2006), 15 des 2006 nr. 69 (ikr. 1 jan 2007 iflg. res. 15 des 2006 nr. 1406), 15 juni 2007 nr. 21, 19 juni 2009 nr. 39 (ikr. 1 jan 2010 iflg. res. 19 juni 2009 nr. 822), 24 apr 2015 nr. 21 (ikr. 1 juli 2015 iflg. res. 24 apr 2015 nr. 398). "
10-5,"(1) Arbeidsgiver og arbeidstaker kan skriftlig avtale at den alminnelige arbeidstid kan ordnes slik at den i løpet av en periode på høyst 52 uker i gjennomsnitt ikke blir lenger enn foreskrevet i § 10-4, men slik at den alminnelige arbeidstiden ikke overstiger ti timer i løpet av 24 timer og 48 timer i løpet av sju dager. Grensen på 48 timer i løpet av sju dager kan gjennomsnittsberegnes over en periode på åtte uker, likevel slik at den alminnelige arbeidstiden ikke overstiger 50 timer i noen enkelt uke. (2) Arbeidsgiver og arbeidstakernes tillitsvalgte i virksomhet som er bundet av tariffavtale, kan skriftlig avtale at den alminnelige arbeidstiden skal ordnes slik at den i løpet av en periode på høyst 52 uker i gjennomsnitt ikke blir lenger enn foreskrevet i § 10-4, men slik at den alminnelige arbeidstiden ikke overstiger 12,5 timer i løpet av 24 timer og 48 timer i løpet av sju dager. Grensen på 48 timer i løpet av sju dager kan gjennomsnittsberegnes over en periode på åtte uker, likevel slik at den alminnelige arbeidstiden ikke overstiger 54 timer i noen enkelt uke. Ved inngåelse av avtale som innebærer at den alminnelige arbeidstiden overstiger 10 timer i løpet av 24 timer, skal det legges særlig vekt på hensynet til arbeidstakernes helse og velferd. (3) Arbeidstilsynet kan samtykke i at den alminnelige arbeidstiden i løpet av en periode på høyst 26 uker i gjennomsnitt ikke blir lenger enn foreskrevet i § 10-4, men slik at den samlede arbeidstiden ikke overstiger 13 timer i løpet av 24 timer og 48 timer i løpet av sju dager. Grensen på 48 timer kan gjennomsnittsberegnes over en periode på åtte uker. Før Arbeidstilsynet treffer sin avgjørelse, skal ordningen av arbeidstiden drøftes med arbeidstakernes tillitsvalgte. Referat fra drøftingene samt utkast til arbeidsplan skal vedlegges søknaden. Arbeidstilsynet skal ved sin avgjørelse legge særlig vekt på hensynet til arbeidstakernes helse og velferd. Endret ved lover 21 des 2005 nr. 121 (ikr. 1 jan 2006), 15 des 2006 nr. 69 (ikr. 1 jan 2007 iflg. res. 15 des 2006 nr. 1406), 24 apr 2015 nr. 21 (ikr. 1 juli 2015 iflg. res. 24 apr 2015 nr. 398), 22 juni 2018 nr. 46 (ikr. 1 jan 2019 iflg. res. 22 juni 2018 nr. 944), 18 mars 2022 nr. 10 (i kraft 1 juli 2022 iflg. res. 18 mars 2022 nr. 412). "
10-6,"(1) Arbeid utover avtalt arbeidstid må ikke gjennomføres uten at det foreligger et særlig og tidsavgrenset behov for det. (2) Varer arbeidet for noen arbeidstaker ut over lovens grense for den alminnelige arbeidstid regnes det overskytende som overtidsarbeid. (3) Før arbeid som nevnt i denne paragraf iverksettes skal arbeidsgiver, dersom det er mulig, drøfte nødvendigheten av det med arbeidstakernes tillitsvalgte. (4) Overtidsarbeidet må ikke overstige ti timer i løpet av sju dager, 25 timer i fire sammenhengende uker og 200 timer innenfor en periode på 52 uker. (5) Arbeidsgiver og arbeidstakernes tillitsvalgte i virksomhet som er bundet av tariffavtale, kan skriftlig avtale overtidsarbeid inntil 20 timer i løpet av sju dager, men slik at samlet overtidsarbeid ikke overstiger 50 timer i fire sammenhengende uker. Overtidsarbeidet må ikke overstige 300 timer innenfor en periode på 52 uker. (6) Arbeidstilsynet kan etter søknad i særlige tilfeller tillate samlet overtidsarbeid inntil 25 timer i løpet av sju dager og 200 timer i løpet av en periode på 26 uker. Referat fra drøftingene, jf. tredje ledd, skal vedlegges søknaden. Fremmer virksomheten søknad om overtid innenfor rammen i femte ledd, skal årsaken til at saken ikke er løst ved avtale med de tillitsvalgte alltid oppgis. Arbeidstilsynet skal ved sin avgjørelse legge særlig vekt på hensynet til arbeidstakernes helse og velferd. (7) Overtidsarbeid utover rammen i fjerde ledd kan bare pålegges arbeidstakere som i det enkelte tilfellet har sagt seg villig til det. (8) Samlet arbeidstid må ikke overstige 13 timer i løpet av 24 timer eller 48 timer i løpet av sju dager. Grensen på 48 timer i løpet av sju dager kan gjennomsnittsberegnes over en periode på åtte uker, likevel slik at den samlede arbeidstiden etter § 10-5 andre ledd og § 10-6 femte ledd ikke overstiger 69 timer i noen enkelt uke. (9) Arbeidsgiver og arbeidstakernes tillitsvalgte i virksomhet som er bundet av tariffavtale, kan skriftlig avtale unntak fra grensen på 13 timer i åttende ledd, men slik at den samlede arbeidstid ikke overstiger 16 timer i løpet av 24 timer. Arbeidstaker skal i så fall sikres tilsvarende kompenserende hvileperioder eller, der dette ikke er mulig, annet passende vern. (10) Arbeidstaker har rett til å bli fritatt fra å utføre arbeid utover avtalt arbeidstid når vedkommende av helsemessige eller vektige sosiale grunner ber om det. Arbeidsgiver plikter også ellers å frita arbeidstaker som ber om det, når arbeidet uten skade kan utsettes eller utføres av andre. (11) For overtidsarbeid skal det betales et tillegg til den lønn arbeidstakeren har for tilsvarende arbeid i den alminnelige arbeidstiden. Tillegget skal være minst 40 prosent. (12) Arbeidsgiver og arbeidstaker kan skriftlig avtale at overtidstimer helt eller delvis skal tas ut i form av arbeidsfri på et avtalt tidspunkt. Endret ved lover 21 des 2005 nr. 121 (ikr. 1 jan 2006), 15 des 2006 nr. 69 (ikr. 1 jan 2007 iflg. res. 15 des 2006 nr. 1406), 24 apr 2015 nr. 21 (ikr. 1 juli 2015 iflg. res. 24 apr 2015 nr. 398). "
10-7,Det skal foreligge en oversikt som viser hvor mye den enkelte arbeidstaker har arbeidet. Oversikten skal være tilgjengelig for Arbeidstilsynet og arbeidstakernes tillitsvalgte. 
10-8,"(1) Arbeidstaker skal ha minst 11 timer sammenhengende arbeidsfri i løpet av 24 timer. Den arbeidsfrie perioden skal plasseres mellom to hovedarbeidsperioder. (2) Arbeidstaker skal ha en sammenhengende arbeidsfri periode på 35 timer i løpet av sju dager. (3) Arbeidsgiver og arbeidstakernes tillitsvalgte i virksomhet som er bundet av tariffavtale, kan skriftlig avtale unntak fra bestemmelsene i første og andre ledd. Slik avtale kan bare inngås dersom arbeidstaker sikres tilsvarende kompenserende hvileperioder eller, der dette ikke er mulig, annet passende vern. Det kan ikke avtales kortere arbeidsfri periode enn 8 timer i løpet av 24 timer eller 28 timer i løpet av sju dager. Grensen på 8 timer gjelder ikke når arbeid utover avtalt arbeidstid (jf. § 10-6 første ledd) eller arbeid ved utkalling under beredskapsvakt utenfor arbeidsstedet er nødvendig for å unngå alvorlige driftsforstyrrelser. Ved virksomhet som ikke er bundet av tariffavtale, kan arbeidsgiver og arbeidstakernes representanter på samme vilkår skriftlig avtale arbeid i den arbeidsfrie perioden, når dette er nødvendig for å unngå alvorlige driftsforstyrrelser. (4) Arbeidsfri som nevnt i andre ledd skal så vidt mulig omfatte søndag. Arbeidstaker som har utført søn- og helgedagsarbeid, skal ha arbeidsfri følgende søn- og helgedagsdøgn. Arbeidsgiver og arbeidstaker kan skriftlig avtale en arbeidstidsordning som i gjennomsnitt gir arbeidstaker arbeidsfri annenhver søn- og helgedag over en periode på 26 uker, likevel slik at det ukentlige fridøgn minst hver fjerde uke faller på en søn- eller helgedag. (5) Departementet kan i forskrift fastsette en fordeling av fridøgnene som avviker fra reglene i fjerde ledd. Endret ved lover 21 des 2005 nr. 121 (ikr. 1 jan 2006), 15 des 2006 nr. 69 (ikr. 1 jan 2007 iflg. res. 15 des 2006 nr. 1406), 24 apr 2015 nr. 21 (ikr. 1 juli 2015 iflg. res. 24 apr 2015 nr. 398). "
10-9,"(1) Arbeidstaker skal ha minst en pause dersom den daglige arbeidstiden overstiger fem og en halv time. Pausene skal til sammen være minst en halv time hvis den daglige arbeidstid er minst åtte timer. Dersom arbeidstaker ikke fritt kan forlate arbeidsplassen under pausen eller der det ikke finnes tilfredsstillende pauserom, skal pausen regnes som en del av arbeidstiden. Når forholdene gjør det nødvendig, kan pausen forskyves. (2) Når arbeidstaker arbeider mer enn to timer etter at den alminnelige arbeidstid er avviklet, skal arbeidstaker gis en pause på minst en halv time. Pausen regnes som en del av arbeidstiden. Pause som legges etter alminnelig arbeidstids slutt, godtgjøres som overtidsarbeid, men regnes ikke med i det antall timer det er tillatt å arbeide overtid etter § 10-6. Når forholdene gjør det nødvendig, kan pausen kortes ned eller forskyves. "
10-10,"(1) Det skal være arbeidsfri fra kl. 1800 dagen før en søn- eller helgedag og til kl. 2200 dagen før neste virkedag. Jul-, påske- og pinseaften skal det være arbeidsfri fra kl. 1500 til kl. 2200 dagen før neste virkedag. Arbeid innenfor disse tidsrom regnes som søn- og helgedagsarbeid. (2) Arbeid på søn- og helgedager er ikke tillatt med mindre arbeidets art gjør det nødvendig. (3) Arbeidsgiver skal drøfte behovet for søn- og helgedagsarbeid med arbeidstakernes tillitsvalgte før det iverksettes. (4) I virksomhet som er bundet av tariffavtale kan arbeidsgiver og arbeidstakerens tillitsvalgte inngå skriftlig avtale om arbeid på søn- og helgedager dersom det foreligger et særlig og tidsavgrenset behov for dette. (5) Arbeidsgiver og arbeidstaker kan slutte skriftlig avtale om arbeid på søn- og helgedager utenom de tilfeller som er nevnt i denne paragraf, mot tilsvarende fri på andre dager som i henhold til arbeidstakerens religion er helge- eller høytidsdag. Slik avtale kan inngås uten hensyn til bestemmelsene i § 10-8 fjerde ledd. "
10-11,"(1) Arbeid mellom kl. 2100 og kl. 0600 er nattarbeid. Arbeidsgiver og arbeidstakers tillitsvalgte ved virksomhet som er bundet av tariffavtale, kan skriftlig fastsette et annet tidsrom på minst åtte timer som omfatter tiden mellom kl. 0000 og kl. 0600. Som nattarbeid regnes ikke arbeid på to skift som legges mellom kl. 0600 og kl. 0000. (2) Nattarbeid er ikke tillatt med mindre arbeidets art gjør det nødvendig. (3) Arbeidsgiver og arbeidstaker kan inngå skriftlig avtale om at arbeidstaker, på eget initiativ, kan utføre arbeid mellom kl. 2100 og kl. 2300. (4) Ved virksomhet som er bundet av tariffavtale kan arbeidsgiver og arbeidstakers tillitsvalgte inngå skriftlig avtale om nattarbeid dersom det foreligger et særlig og tidsavgrenset behov for dette. (5) Arbeidsgiver skal drøfte nødvendigheten av nattarbeid med arbeidstakers tillitsvalgte før det iverksettes. (6) Den alminnelige arbeidstiden for arbeidstaker som jevnlig arbeider mer enn tre timer om natten, skal i gjennomsnitt ikke overstige åtte timer i løpet av 24 timer. Gjennomsnittet skal beregnes over fire uker. Minimumsperioden for ukentlig arbeidsfri i § 10-8 andre ledd skal ikke tas med ved beregning av gjennomsnittet. (7) Arbeidstiden for arbeidstaker som arbeider mer enn tre timer om natten skal ikke overstige åtte timer i løpet av 24 timer dersom arbeidet innebærer en særlig risiko eller betydelige fysiske eller psykiske belastninger. (8) Arbeidstaker som hovedsakelig utfører arbeid om natten, skal gis tilbud om helsekontroll før tiltredelse og deretter med jevne mellomrom. (9) Arbeidsgiver og arbeidstakers tillitsvalgte ved virksomheter som er bundet av tariffavtale, kan skriftlig avtale at bestemmelsene i sjette og sjuende ledd skal fravikes. Arbeidstakerne skal i så fall sikres tilsvarende kompenserende hvileperioder eller, der dette ikke er mulig, annet passende vern. Endret ved lov 16 juni 2017 nr. 42 (ikr. 1 juli 2017 iflg. res. 16 juni 2017 nr. 752). "
10-12,"(1) Bestemmelsene i dette kapittel kommer ikke til anvendelse for arbeidstaker i ledende stilling, med unntak av § 10-2 første, andre og fjerde ledd. (2) Bestemmelsene i dette kapitlet kommer ikke til anvendelse for arbeidstakere i særlig uavhengig stilling, med unntak av § 10-2 første, andre og fjerde ledd. (3) Bestemmelsene i dette kapittel kan fravikes for arbeid som på grunn av naturhendelser, ulykke eller andre uforutsette begivenheter må foretas for å avverge fare for eller skade på liv eller eiendom. I så fall skal arbeidstakerne sikres tilsvarende kompenserende hvileperioder eller, der dette ikke er mulig, annet passende vern. (4) Fagforening med innstillingsrett etter arbeidstvistloven eller tjenestetvistloven kan, med unntak av § 10-2 første, andre og fjerde ledd, og § 10-11 åttende ledd, inngå tariffavtale som fraviker bestemmelsene i dette kapittel. Unntak fra § 10-8 første og andre ledd og § 10-11 sjette og sjuende ledd forutsetter at arbeidstakerne sikres tilsvarende kompenserende hvileperioder, eller der dette ikke er mulig, annet passende vern. For bruk av overtid etter slik tariffavtale gjelder vilkårene i § 10-6 første ledd. Arbeidstaker må i det enkelte tilfelle samtykke til overtidsarbeidet. Kravet til individuelt samtykke gjelder tilsvarende der det inngås tariffavtale om en samlet gjennomsnittlig arbeidstid på over 48 timer i løpet av sju dager i løpet av ett år. (5) Dersom det er inngått avtale som nevnt i §§ 10-5 andre ledd, 10-6, 10-8 tredje ledd, 10-10, 10-11 første, fjerde eller niende ledd eller § 10-12 fjerde ledd, og et flertall av arbeidstakerne er bundet av avtalen, kan arbeidsgiver gjøre avtalens bestemmelser om arbeidstid gjeldende for alle arbeidstakere som utfører arbeid av den art avtalen omfatter. (6) Arbeidstilsynet kan gi samtykke til arbeidstidsordninger som fraviker § 10-8 og § 10-10 andre ledd når det er lang avstand mellom arbeidsstedet og arbeidstakers bosted. Slikt samtykke kan bare gis dersom det har sikkerhetsmessig betydning å legge til rette for en helhetlig regulering av arbeidstidsordningene på arbeidsplassen. Fravik fra § 10-8 første og andre ledd forutsetter at arbeidstakerne sikres kompenserende hvile eller, der dette ikke er mulig, annet passende vern. (7) Arbeidstilsynet kan gi samtykke til arbeidstidsordninger som fraviker § 10-8 første og andre ledd og grensen på 13 timer i § 10-5 tredje ledd for helse- og omsorgsarbeid samt vakt- og overvåkningsarbeid der arbeidet helt eller delvis er av passiv karakter (jf. § 10-4 andre ledd). Slikt samtykke kan bare gis dersom arbeidstakerne sikres kompenserende hvile eller, der dette ikke er mulig, annet passende vern. (8) Dersom arbeidet er av så særegen art at det vanskelig lar seg tilpasse bestemmelsene i kapitlet her, kan departementet i forskrift gi særlige regler og fastsette unntak fra disse bestemmelsene. Sjette (nå åttende) ledd ikr. 1 juli 2005, første, andre og fjerde ledd ikr. 1 jan 2006. Endret ved lover 21 des 2005 nr. 121 (ikr. 1 jan 2006), 15 des 2006 nr. 69 (ikr. 1 jan 2007 iflg. res. 15 des 2006 nr. 1406), 19 juni 2009 nr. 39 (ikr. 1 jan 2010 iflg. res. 19 juni 2009 nr. 822), 24 apr 2015 nr. 21 (ikr. 1 juli 2015 iflg. res. 24 apr 2015 nr. 398), 16 juni 2017 nr. 42 (ikr. 1 juli 2017 iflg. res. 16 juni 2017 nr. 752). "
10-13,"Tvist mellom arbeidsgiver og arbeidstaker om anvendelsen av bestemmelsene i § 10-2 andre, tredje og fjerde ledd og § 10-6 tiende ledd avgjøres av tvisteløsningsnemnda, jf. § 17-2. Endret ved lov 21 des 2005 nr. 121 (ikr. 1 jan 2006). "
11-1,"(1) Barn som er under 15 år eller skolepliktige skal ikke utføre arbeid som går inn under denne lov unntatt a. kulturelt eller lignende arbeid, b. lett arbeid og barnet har fylt 13 år, c. arbeid som ledd i barnets skolegang eller i praktisk yrkesorientering som er godkjent av skolemyndighetene og barnet har fylt 14 år. (2) Departementet kan i forskrift gi nærmere bestemmelser om hva slags arbeid som skal være tillatt etter første ledd. Det kan fastsettes nærmere vilkår for slikt arbeid. (3) Personer under 18 år må ikke utføre arbeid som kan være til skade for deres sikkerhet, helse, utvikling eller skolegang. Departementet kan i forskrift bestemme hva slags arbeid som er omfattet av dette forbudet og om listeføring av arbeidstakere under 18 år. "
